,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
27,NC,387543.17,387543.17,NC,291237,NC,136.8,136.8,NC,NC,6,36,39,42,NC,NC,1928,NC,1928,5,NC,13044,9640,NC,24,8760,0,22200,166860.06,75253.47,1903505.81,176848.48,417753.14,1007883.96,807294.35,954205.08,1124345.58,NR,NR,2,8,117,117,0,0,2,80,NR,NC,NC,NC
28,431748,982.8,416730.8,268167,321277,NC,45,30.6,39.6,NC,0,48,0,0,NC,NC,1776,1382,1776,4.7,4.7,8700,8348,6496,24,8760,2232104,NR,9700.8,69263.37,1128895.57,195668.47,371008.13,569919.36,522294.62,474228.56,488759.59,0,0,3,9,0,0,0,0,11,12,NR,1,0,NR
29,NC,1410890.54,1410890.54,NC,1199669,341640,247.5,442.08,NC,40,215,217,796,984,4,6,6753,1579,6607,6,6,42431,40518,9474,24,8760,0,20405,943620.15,766005.23,10696018.83,424063.49,491320.16,3988571.38,3722863.53,3180433.13,4559564.37,347034.48,1166147.45,7,27,2912,2999,79,79,16,61,122.23,23,16,15.5
30,411720,954237.79,1337137.39,382899.6,755868,857779.2,434.92,364.56,360,469.44,125,181,1333,1932,NR,NR,5922,9286,4024,5,5,82188,29610,46430,24,8760,NR,7560,129917.31,814680.01,95332550.82,579963.02,719413.99,4925815.74,2926678.2,4477473.5,5508924.09,7472999.1,19208483.01,26,51,483,496,3,5,16,12,77.25,205,27,302.76
31,NC,2405086.41,2405086.41,NC,1549465,NC,267.6,414,NC,NC,132,132,714,732,NC,NC,9967,NC,9967,5,NC,51750,49835,NC,24,8760,0,20064,53509,655837.42,19929198,2282979,538616,4449565.63,3906267.37,4710592.92,5435181.6,1571052.48,2282700,7,28,932,1054,81,100,317,285,258.12,NC,NC,NC
32,NC,761444,761444,NC,655409,NC,176,295,NC,NC,84,85,418,492,NC,NC,6222,NC,6222,3.56,NC,23999,22119,NC,24,8760,0,0,729932,188465.46,8008031.84,747034,343794,2159395.28,1873550,1877500,2459931,309993.3,309993.3,5,17,851,1015,6,6,61,204,147.67,NC,NC,NC
33,3153600,NC,2838240,2838240,2010966.8,NC,403,NC,432,NC,348,314,1268,1695,NC,NC,9012,NC,NR,5,NC,65807,45060,NC,24,8760,41420565,NR,63335.53,581388,4650086.4,5803822.54,0,4273647.25,3666941.2,4738637.97,4811698.3,0,0,13,40,545,677,NR,NR,111,169,118.61,NC,NC,NC
34,790840,531163,1322003,790840,953274,NC,291.6,NR,117,NC,NR,169,NR,NR,NC,NC,4751,NC,4751,5.3,NC,29061,25180,NC,24,8760,0,1600,316988.73,863940.81,7329856.11,6896109.02,1200898.46,3351164.83,3080834.06,3601169.89,4042209.77,NR,NR,3,19,91,97,NR,NR,NR,NR,44,NC,NC,NC
35,1340260,127575.96,1266200.76,1138624.8,1173087,133597,248,68,374.4,90,69,169,263,309,11,24,5356,1629,5285,5,5,36613,26780,8145,24,8760,0,1500,495119.88,695178.02,14659019.21,1026802.71,103969.94,2488161.04,2253267,3622822.16,4201299.37,340890,638500,3,18,5403,5403,10,10,13,144,95.94,0,0,27
36,NC,1233970,1233970,NC,947706,NC,226.8,448,NC,NC,100,216,398,400,NC,NC,10399,7280,10384,4.6,4.6,50194,47835,33488,24,8760,NR,NR,1636724.52,354577.86,3104285.51,185671.78,133866.29,2811831.76,2266350.3,3028252.72,3248879.42,221205,265860,6,20,2194,2200,20,20,52,168,101.8,202,0,65.3
37,4367936,NC,NR,3974821,2511648,2488320,572,NC,540,288,19,154,52,60,NR,NR,3679,2404,1744,7,7,27399,25753,16842,24,8760,NR,NR,403870,97452,4789672,28471,175454,1053037.69,753230.81,1129190.47,1294742.08,169380.2,400000,5,15,604,624,NR,NR,NR,NR,NR,NR,NR,NR
38,797860.8,NC,797860.8,NC,592415,NC,104.22,NC,NC,NC,0,109,0,0,NC,NC,3039,1298,3039,5,5,15459,15195,6490,24,8760,NR,4500,283420.66,173142.8,2559941.65,69832.04,955152.54,1053574.35,942358.27,881643.67,1215118.93,0,0,5,14,187,187,NR,NR,70,47,56.9,84,49,15.79
39,831797.76,10135,815161.8,NC,601472,NC,138,73,NC,NC,192,181,756,768,NC,NC,5977,NC,5654,5,NC,32340,29885,NC,24,8760,NR,331378.6,212808.4,31027.25,2223421.67,184807.81,76391.03,2258126.39,1638217.7,1967372.72,2079277.64,NR,NR,6,24,NR,NR,46,96,4,NR,37.75,NC,NC,NC
40,330275.23,655603.02,985878.25,126144,884286,2661638.4,146,186.4,50,126,207,181,856,1050,12,20,7448,7150,7116,3.5,3.5,30320,26068,25025,24,8760,NR,NR,24655.63,551916.19,3245126.89,238994.63,15524624.83,2700209.19,2342612.72,2914511.53,2946696.32,NR,NR,8,22,353,353,NR,NR,39,NR,NR,21,NR,NR
41,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
42,NC,1002801.6,1002801.6,NC,680453,NC,313.2,265.07,NC,NC,118,121,532,550,NC,NC,4180,NC,3843,5,NC,29053,20900,NC,24,8760,0,300,327167.05,2270988.82,19572639.97,1205807.37,1408985.8,2951127.15,2816955.18,3192909.36,3650398.47,NR,NR,4,19,401,401,0,0,413,381,98.4,NC,NC,NC
43,NC,4500655.42,4500655.42,NC,3242927,NC,645.2,813.2,NC,NC,228,252,1380,1383,NC,NC,16570,NC,14433,6,NC,107124,99420,NC,24,8760,NR,NR,270202.88,1216198.83,16113193.98,998988.68,1948003.42,8445452.58,7263286.44,8288606.96,9487364.41,929610.59,2042320,21,56,2574,2574,13,18,41,NR,265.5,NC,NC,NC
44,2024913.6,NC,1793212.56,NC,1165588.16,NC,379,NC,NC,NC,NR,518,NR,NR,NC,NC,7740,6331,1046,6.47,5.5,54712,50078,34821,24,8760,43100045,2046864,1626328.86,389842.1,77594892.17,9304259.79,497194.17,1871862.72,1246172.24,1746218.23,2556908.94,0,3530000,10,19,1604,1634,NR,NR,74,204,NR,153,43,NR
45,243349.92,151404.48,394754.4,243349.92,268396,NC,72,46.8,108,NC,NR,97,NR,NR,NC,NC,2736,NR,2736,5,5,26804,13680,NR,24,8760,NR,184791,NR,133323.7,NR,NR,NR,808144.8,524496,807790.45,NR,0,0,3,10,477,678,26,32,53,NR,NR,NR,NR,NR
46,NC,1018540,856792,NC,550637,NR,108,129.6,NC,202.39,85,85,1013,1271,NR,NR,3394,2328,3394,5.5,5.5,48187,18667,12804,24,8760,22298580,NR,19764.69,299727,85707135.51,3675047.14,0,2404681.97,2404315.99,3340216.25,6578315.04,0,0,4,34,3245,3351,NR,NR,NR,NR,NR,NR,NR,NR
47,567648,90782.11,567648,311040,327605,61685,142.2,55.8,54,17.29,10,60,41,52,NR,NR,1875,887,1635,3,3,10924,5625,2661,24,8760,0,0,43317.25,158436.61,10747309.29,608451.9,25466.26,949215.85,768479.89,990124.43,1248352.63,NR,NR,4,7,32,32,NR,NR,4,10,31.12,4,1,10.49
48,NC,908544,908544,NC,301575,NC,122,122,NC,NC,47,48,270,277,NC,NC,2180,NC,2113,5,NC,11136,10900,NC,24,8760,0,0,114960.6,125412,3289573.43,453028.95,49852,797622,797622,539618,919679.63,NR,NR,2,9,480,480,0,4,52,78,35.68,NC,NC,NC
49,NC,863778,863778,NC,763096,401821.2,180,180,NC,58.99,60,73,369,372,0,0,3150,1714,3150,4.8,4.8,15576,15120,8227,24,8760,0,0,203394.45,156647,5749593.02,740332.79,2674365,2445291.67,2285151.35,2187364.16,2371832.8,250082.1,597946.08,10,25,1224,1224,46,46,6,43,49.17,23,137,21.64
